2015-05-15 13:48:10.0518 |   INFO |                      WebApi.WebApiApplication.Application_BeginRequest | URL(GET): /api/UsersInt/GetUserByUserName/12@akaver.com/
2015-05-15 13:48:10.0878 |   INFO |                              DALEF.Helpers.EFRepositoryFactories..ctor | _instanceId: c6cf14fa-b7b7-4fbd-afaf-b08c31edb51a
2015-05-15 13:48:10.0878 |   INFO |                               DALEF.Helpers.EFRepositoryProvider..ctor | _instanceId: b2eb422c-2ecb-4aa2-b4ed-89945a331b5a
2015-05-15 13:48:10.2158 |   INFO |                                            DALEF.WebAppEFContext..ctor | _instanceId: 26345eb9-4df1-41f2-90a2-154733b807be
2015-05-15 13:48:10.2238 |   INFO |                                                        DALEF.UOW..ctor | _instanceId: c7b2e09d-5b78-49bb-bac9-0a81a89e3118
2015-05-15 13:48:10.2238 |   INFO |                                          IdentityEF.UserStore`11..ctor | _instanceId: 4c862efb-2608-4fff-a020-28cb31e607f7
2015-05-15 13:48:10.2918 |   INFO |                      WebApi.WebApiApplication.Application_BeginRequest | URL(GET): /api/UsersInt/GetUserByUserName/12@akaver.com/
2015-05-15 13:48:10.2918 |   INFO |                               DALEF.Helpers.EFRepositoryProvider..ctor | _instanceId: e4c8cba7-4ea5-4334-9698-4d32d4b7d9c0
2015-05-15 13:48:10.2918 |   INFO |                                            DALEF.WebAppEFContext..ctor | _instanceId: 82b22863-8b40-413f-bedb-abc495380b6d
2015-05-15 13:48:10.2918 |   INFO |                                                        DALEF.UOW..ctor | _instanceId: 0510151b-7bdb-4d03-ab4d-8d4582baa546
2015-05-15 13:48:10.3038 |   INFO |                                          IdentityEF.UserStore`11..ctor | _instanceId: 87668ae9-3e27-4010-acbb-e6af01d96f6c
2015-05-15 13:48:10.3557 |   INFO |                                        IdentityEF.UserStore`11.Dispose | _instanceId: 87668ae9-3e27-4010-acbb-e6af01d96f6c
2015-05-15 13:48:10.3638 |   INFO |                             DALEF.Helpers.EFRepositoryProvider.Dispose | _instanceId: e4c8cba7-4ea5-4334-9698-4d32d4b7d9c0
2015-05-15 13:48:10.3797 |   INFO |                                          DALEF.WebAppEFContext.Dispose | Disposing: True _instanceId: 82b22863-8b40-413f-bedb-abc495380b6d
2015-05-15 13:48:10.3797 |   INFO |                      WebApi.WebApiApplication.Application_BeginRequest | URL(GET): /api/UsersInt/GetUserByEmail/12@akaver.com/
2015-05-15 13:48:10.3797 |   INFO |                                                      DALEF.UOW.Dispose | Disposing: True _instanceId: 0510151b-7bdb-4d03-ab4d-8d4582baa546
2015-05-15 13:48:10.3797 |   INFO |                               DALEF.Helpers.EFRepositoryProvider..ctor | _instanceId: 82b0e154-3422-4c4c-a169-45102df1fdcc
2015-05-15 13:48:10.3957 |   INFO |                                            DALEF.WebAppEFContext..ctor | _instanceId: 62bd1b71-d2b5-4b30-a3e9-3a5079e07eae
2015-05-15 13:48:10.3957 |   INFO |                                                        DALEF.UOW..ctor | _instanceId: 2151ac86-ec80-4f02-9542-6047ad8f499e
